13.5	1	5.02	0.14	123
12	14	8.19	0.27	104
10.5	16	3	0	40
15	4	10.7	0.05	57
14	11	8.97	0.07	60
10.5	15	9.45	0.24	101
14	2	8	0.19	31
16.5	1	6.62	0.6	248
17.5	1	6.2	0	215
16.5	8	11.78	0.03	251
17	12	14.62	0.08	291
16.5	2	11.55	0.03	208
16	2	9.63	0	82
16.5	13	12.99	0.04	360
17.225	2	12.01	0.03	266
17	1	12.01	0	299
16	1	7.99	0.14	189
14.625	12	10.33	0.12	37
14.5	16	10.67	0	350
14.5	3	9.45	0.03	85
16.5	6	12.65	0.13	236
16.5	3	12.08	0	130
15	3	10.52	0.05	41
15	3	9.47	0	41
13	14	11.62	0	460
12.5	1	5	0.33	120
14	15	9.89	0.05	81
13.75	16	11.13	0.06	154
14	2	7.96	0.22	97
15	16	10.73	0.09	277
13.75	2	7.95	0	90
15.625	3	12.05	0.03	185
13	16	8.43	0.04	96
14	16	10.6	0.04	106
15.25	13	10.55	0.1	136
16.25	1	5.5	0.21	180
13	14	8.53	0.03	315
14.5	3	9.04	0.04	43
11.5	15	8.2	0	30
14.25	1	6.13	0	60
15.5	15	8.32	0	74
12	1	4	0	50
14.25	15	10.1	0	51
14	3	5.25	0.16	32
16.5	3	11.62	0	168
14.5	4	5.31	0	70
15.5	1	5.75	0	27
16.75	4	12.46	0.03	130
16.75	4	12.75	0	130
16.75	2	12.75	0	130
16.75	2	11.38	0	209
17	1	5.99	0.57	220
16	2	11.37	0.27	60
14.5	3	10.38	0	110
15	15	10.77	0.05	101
15	17	11.3	0	289
16	1	7.06	0.14	105
15.5	14	12.1	0.05	276
15.25	2	10.04	0.06	33
16.5	1	4.99	0.73	210
19.25	0	7.33	0.22	240
17.75	18	12.11	0	282
18.75	16	12.86	0	421
19.25	13	12.7	0.04	484
14	20	11.58	0	234
14	18	11.58	0.03	231
18	16	12.97	0.08	297
13.75	1	4.82	0	32
15	2	9.75	0.03	39
15.5	16	10.36	0.02	110
15.9	1	8.13	0.23	236
15.25	15	13.23	0.05	243
15.5	4	10.57	0.04	122
14.75	20	11.22	0	128
15	3	10.34	0	72
14.5	3	10.67	0	43
13.5	18	8.6	0.08	59
15	15	11.97	0.14	255
15.25	11	11.27	0.03	435
14.5	14	12.68	0.03	202
