y,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,-0.737374,-0.026273,0.234375,0.01403,-0.275641,0.025605,0.424837,0.332263,0.151125
1,-0.717172,-0.025667,-0.09375,0.01403,-0.275641,0.023752,0.124183,0.261637,0.151125
1,-0.575758,-0.025667,-0.109375,0.014802,-0.25,0.025605,0.019608,0.235955,0.151125
1,-0.636364,-0.026677,-0.046875,0.01403,-0.25641,0.025605,0.111111,0.255217,0.144695
1,-0.616162,-0.024656,-0.109375,0.01403,-0.25,0.025975,0.045752,0.235955,0.144695
1,-0.414141,-0.025667,0.15625,0.01403,-0.217949,0.025679,0.150327,0.258427,0.144695
1,-0.79798,-0.025869,-0.140625,0.01403,-0.275641,0.02605,0.137255,0.252006,0.144695
1,-0.555556,-0.024858,0.03125,0.01403,-0.237179,0.027606,0.124183,0.255217,0.144695
2,-0.414141,-0.025667,-0.046875,0.01403,-0.435897,0.025679,-0.03268,0.438202,0.363344
2,-0.434343,-0.025667,-0.046875,0.01403,-0.455128,0.026272,-0.03268,0.454254,0.382637
1,-0.79798,-0.025667,-0.140625,0.013773,-0.282051,0.024123,0.137255,0.261637,0.151125
1,-0.616162,-0.024858,-0.09375,0.01403,-0.25,0.027013,0.058824,0.235955,0.144695
1,-0.79798,-0.025667,-0.09375,0.01403,-0.365385,0.053322,0.176471,0.354735,0.228296
1,-0.494949,-0.025465,-0.078125,0.01403,-0.230769,0.025605,-0.006536,0.223114,0.144695
2,-0.434343,-0.025667,-0.09375,0.01403,-0.378205,0.026198,-0.071895,0.370787,0.305466
1,-0.818182,-0.026273,-0.078125,0.013258,-0.282051,0.025383,0.202614,0.274478,0.144695
1,-0.393939,-0.025667,-0.09375,0.01403,-0.217949,0.025605,-0.084967,0.203852,0.144695
1,-0.79798,-0.026071,0.140625,0.01403,-0.288462,0.025605,0.372549,0.329053,0.157556
1,-0.656566,-0.025667,0.015625,0.01403,-0.25641,0.026272,0.176471,0.268058,0.144695
1,-0.575758,-0.025061,0.34375,0.014545,-0.25,0.025605,0.398693,0.325843,0.151125
2,-0.434343,-0.025667,0.15625,0.01403,-0.237179,0.026494,0.150327,0.280899,0.163987
2,-0.434343,-0.025667,-0.0625,0.013773,-0.442308,0.025605,-0.03268,0.444623,0.369775
1,-0.676768,-0.026475,0.328125,0.01403,-0.262821,0.025086,0.437908,0.338684,0.151125
1,-0.717172,-0.024858,-0.140625,0.01403,-0.275641,0.024049,0.084967,0.252006,0.151125
