y,x.gdprate,x.govspend,x.tax,x.salav,x.infl,x.gdprate^2,x.govspend^2,x.tax^2,x.salav^2,x.infl^2,x.gdpr:govs,x.gdpr:tax,x.gdpr:salav,x.gdpr:infl,x.govs:tax,x.govs:salav,x.govs:infl,x.tax:salav,x.tax:infl,x.salav:infl
1.4,1.004076282,-1.582583738,-1.623066425,-0.098356878,-0.901116927,1.021108847,-1.469845335,-1.52205851,-0.114805534,-0.818811321,0.610937685,0.65980336,1.005107429,-0.133703054,-1.497333639,-1.558257387,-1.060442284,-1.595350737,-1.048603671,-0.877327618
1.2,1.004076282,-1.403928043,-1.369838272,-0.098356878,-0.901116927,1.021108847,-1.328830296,-1.314132728,-0.114805534,-0.818811321,0.693136109,0.756732999,1.005107429,-0.133703054,-1.32574682,-1.384964147,-1.037131791,-1.350528798,-1.019939341,-0.877327618
1.4,1.602998977,-1.192789494,-1.350359183,-0.098356878,-0.518142233,2.074905371,-1.156486687,-1.297823501,-0.114805534,-0.610246173,1.393521023,1.354714308,1.606052361,0.804526898,-1.22303754,-1.180163044,-0.709787648,-1.331696342,-0.711700518,-0.516341147
1.5,0.904255833,-1.062858079,-1.194526473,-0.098356878,-0.017329172,0.865630671,-1.047365519,-1.165730004,-0.114805534,-0.236492675,0.747346309,0.723248215,0.90494994,0.982783253,-1.103088642,-1.054131596,-0.285835847,-1.181036687,-0.278298446,-0.044281917
1.2,1.503178527,-1.030375226,-1.019214674,-0.098356878,-0.694899784,1.88487649,-1.019720517,-1.013683011,-0.114805534,-0.714825848,1.381293159,1.406093795,1.505894872,0.449481318,-1.018873507,-1.022623734,-0.822600462,-1.011544576,-0.807745479,-0.682950288
1.5,0.65470471,-0.965409518,-0.941298319,0.103096968,-1.10733407,0.502128455,-0.963992862,-0.944936804,0.08688107,-0.903386171,0.529690318,0.556366557,0.671065695,-0.554769506,-0.957037503,-0.918059182,-1.147451505,-0.88654673,-1.145751105,-1.066555627
1.6,0.854345608,-0.949168091,-0.941298319,0.103096968,-1.048414886,0.790051002,-0.94996977,-0.944936804,0.08688107,-0.881202604,0.745444196,0.764595823,0.872756462,-0.399253674,-0.949267534,-0.90219705,-1.09777647,-0.88654673,-1.095945211,-1.010637816
2.1,0.604794486,-0.867960957,-0.980256496,0.103096968,-0.960036111,0.43374685,-0.879307249,-0.979399889,0.08688107,-0.844956239,0.515832071,0.491566043,0.620643003,-0.402187935,-0.926200438,-0.822886395,-1.015815779,-0.924470332,-1.025386861,-0.926761099
2.7,0.405153587,-0.656822409,-0.863381964,0.103096968,-0.665440192,0.174616557,-0.69131759,-0.875470742,0.08688107,-0.69838624,0.379831043,0.319397314,0.418952236,-0.18065123,-0.776790406,-0.616678692,-0.738707618,-0.810699528,-0.761311858,-0.647172043
2.3,1.75272965,-0.770512396,-0.668591076,0.103096968,0.041590012,2.370745789,-0.793308682,-0.698656218,0.08688107,-0.184995107,1.791605951,1.834482129,1.780364913,1.883601378,-0.751618943,-0.727713609,-0.164671145,-0.621081522,-0.114613449,0.023841693
